ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_000649-T1,FUN_000649,Length:473,"Notchless protein-like protein 1, partial [Acropora cervicornis]",KAK2574016.1,422,MLPL1,MLPL1
FUN_000651-T1,FUN_000651,4 Length: 203,Transmembrane emp24 domain-containing protein [Acropora cervicornis],KAK2574112.1,172,TMX1,TMX1
FUN_000652-T1,FUN_000652,5 Length: 2325,pre-mRNA-processing-splicing factor 8 [Antedon mediterranea],XP_071945367.1,2350,FGF8,FGF8
FUN_000654-T1,FUN_000654,6 Length: 435,ADP-ribose pyrophosphatase [Acropora cervicornis],KAK2574119.1,183,PP1P,PP1P
FUN_000655-T1,FUN_000655,7 Length: 313,PREDICTED: inosine-uridine preferring nucleoside hydrolase-like isoform X2 [Acropora digitifera],XP_015765485.1,315,BPHL,BPHL
FUN_000665-T1,FUN_000665,8 Length: 447,LOW QUALITY PROTEIN: elongation factor Tu-like [Acropora millepora],XP_029191845.2,450,TCF25,TCF25
FUN_000670-T1,FUN_000670,9 Length: 921,MAM and LDL-receptor class A domain-containing protein 2 [Acropora cervicornis],KAK2574480.1,846,MALRD1,MALRD1
FUN_000673-T1,FUN_000673,0 Length: 373,GDP-D-glucose phosphorylase 1 [Acropora cervicornis],KAK2573998.1,323,GDPGP1,GDPGP1
FUN_000676-T1,FUN_000676,1 Length: 288,tropomyosin-2-like [Acropora millepora],XP_029193109.1,293,TPM2,TPM2
FUN_000677-T1,FUN_000677,2 Length: 249,tropomyosin-2-like [Acropora millepora],XP_029193121.2,247,TPM2,TPM2
FUN_000684-T1,FUN_000684,3 Length: 345,inositol monophosphatase 3-like [Acropora muricata],XP_067033811.1,355,IMPA1,IMPA1
FUN_000686-T1,FUN_000686,4 Length: 1528,LOW QUALITY PROTEIN: peroxidasin homolog [Acropora millepora],XP_029192681.2,1480,TCF25,TCF25
FUN_000689-T1,FUN_000689,5 Length: 448,eukaryotic translation initiation factor 3 subunit E [Pocillopora verrucosa],XP_058966082.1,448,EIF3E,EIF3E
FUN_000690-T1,FUN_000690,6 Length: 300,Syntenin-1 [Acropora cervicornis],KAK2574214.1,287,SDCBP,SDCBP
FUN_000692-T1,FUN_000692,7 Length: 1172,Voltage-dependent calcium channel subunit alpha-2/delta-3 [Acropora cervicornis],KAK2574208.1,544,CACNA2D3,CACNA2D3
FUN_000693-T1,FUN_000693,8 Length: 1040,uncharacterized protein [Acropora muricata],XP_067033768.1,1053,GPRASP1,GPRASP1
FUN_000694-T1,FUN_000694,9 Length: 293,replication protein A 32 kDa subunit-A-like [Montipora capricornis],XP_068750130.1,290,GNB1L,GNB1L
FUN_000702-T1,FUN_000702,0 Length: 204,Ectin [Acropora cervicornis],KAK2574129.1,282,NA,NA
FUN_000703-T1,FUN_000703,1 Length: 607,Ectin [Acropora cervicornis],KAK2574128.1,782,NA,NA
FUN_000705-T1,FUN_000705,2 Length: 245,Golgi-associated plant pathogenesis-related protein 1 [Acropora cervicornis],KAK2574396.1,257,GLIPR1L1,GLIPR1L1
FUN_000705-T2,FUN_000705,Length:245,Golgi-associated plant pathogenesis-related protein 1 [Acropora cervicornis],KAK2574396.1,257,GLIPR1L1,GLIPR1L1
FUN_000709-T1,FUN_000709,Length:169,Eukaryotic translation initiation factor 1A [Acropora cervicornis],KAK2570965.1,131,EIF1AD,EIF1AD
FUN_000711-T1,FUN_000711,3 Length: 987,Trafficking protein particle complex subunit 10 [Acropora cervicornis],KAK2570969.1,1131,TRAPPC10,TRAPPC10
FUN_000713-T1,FUN_000713,4 Length: 663,PREDICTED: L-amino-acid oxidase-like [Acropora digitifera],XP_015769458.1,648,HAOL,HAOL
FUN_000717-T1,FUN_000717,5 Length: 443,"alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like isoform X1 [Acropora millepora]",XP_044177836.1,479,ATP6V1A2,ATP6V1A2
FUN_000719-T1,FUN_000719,6 Length: 1844,E3 ubiquitin-protein ligase listerin-like [Acropora muricata],XP_067048787.1,1844,TRIM32,TRIM32
FUN_000720-T1,FUN_000720,7 Length: 1333,Intersectin-1 [Acropora cervicornis],KAK2570547.1,1484,ITSN1,ITSN1
FUN_000722-T1,FUN_000722,8 Length: 1226,uncharacterized protein LOC114959579 [Acropora millepora],XP_029193502.2,1228,GPRASP1,GPRASP1
FUN_000726-T1,FUN_000726,9 Length: 396,protein kinase C and casein kinase substrate in neurons protein 1-like [Acropora millepora],XP_029193497.2,396,PACSIN1,PACSIN1
FUN_000734-T1,FUN_000734,0 Length: 1013,PREDICTED: serine/arginine repetitive matrix protein 1-like isoform X1 [Acropora digitifera],XP_015769451.1,1231,NA,SRRM1
FUN_000736-T1,FUN_000736,1 Length: 79,PREDICTED: TP53-regulated inhibitor of apoptosis 1-like [Acropora digitifera],XP_015750809.1,79,TRIAP1,TRIAP1
FUN_000739-T1,FUN_000739,2 Length: 551,uncharacterized protein [Acropora muricata],XP_067051493.1,591,GPRASP1,GPRASP1
FUN_000741-T1,FUN_000741,3 Length: 100,cystatin-B-like [Acropora millepora],XP_029187046.1,100,CSTB,CSTB
FUN_000742-T1,FUN_000742,4 Length: 145,Protein MIX23 [Acropora cervicornis],KAK2571001.1,131,MIX23,MIX23
FUN_000744-T1,FUN_000744,5 Length: 2016,Glutamate synthase [NADH] [Acropora cervicornis],KAK2570832.1,1899,AASS,AASS
FUN_000749-T1,FUN_000749,6 Length: 449,Mannosyl-oligosaccharide 1 [Acropora cervicornis],KAK2570835.1,818,A12M1,A12M1
FUN_000754-T1,FUN_000754,7 Length: 249,Pre-mRNA-splicing factor syf2 [Acropora cervicornis],KAK2570618.1,352,SYF2,SYF2
FUN_000755-T1,FUN_000755,8 Length: 2663,leucine-rich repeat serine/threonine-protein kinase 1-like [Acropora millepora],XP_029187052.2,2663,LRRK1,LRRK1
FUN_000756-T1,FUN_000756,9 Length: 139,"glutathione S-transferase 3, mitochondrial-like [Acropora palmata]",XP_074625374.1,139,GSTO3P,GSTO3P
FUN_000760-T1,FUN_000760,0 Length: 416,hypothetical protein P5673_004677 [Acropora cervicornis],KAK2570953.1,397,NA,NA
FUN_000764-T1,FUN_000764,1 Length: 332,"elongation factor Ts, mitochondrial-like [Acropora palmata]",XP_074625930.1,332,TUFMP1,TUFMP1
FUN_000768-T1,FUN_000768,2 Length: 287,Protein quaking-B [Acropora cervicornis],KAK2570950.1,331,GPRASP1,GPRASP1
FUN_000769-T1,FUN_000769,3 Length: 248,dnaJ homolog subfamily C member 8-like [Montipora foliosa],XP_068698651.1,254,RHOC,RHOC
FUN_000771-T1,FUN_000771,4 Length: 406,2-oxoisovalerate dehydrogenase subunit beta [Acropora cervicornis],KAK2570608.1,294,BCKDHB,BCKDHB
FUN_000774-T1,FUN_000774,5 Length: 506,Protein GDAP2-like protein [Acropora cervicornis],KAK2570609.1,113,GPRASP1,GPRASP1
FUN_000775-T1,FUN_000775,6 Length: 3162,cilia- and flagella-associated protein 47-like [Acropora muricata],XP_067048665.1,3160,HOATZ,HOATZ
FUN_000779-T1,FUN_000779,7 Length: 384,protein TFG-like [Acropora millepora],XP_029187017.2,386,GPRASP1,GPRASP1
FUN_000781-T1,FUN_000781,8 Length: 262,3-oxoacyl-[acyl-carrier-protein] reductase FabG [Acropora cervicornis],KAK2570819.1,451,HSD17B8,HSD17B8
FUN_000784-T1,FUN_000784,9 Length: 314,PREDICTED: LOW QUALITY PROTEIN: nmrA-like family domain-containing protein 1 [Acropora digitifera],XP_015764243.1,314,NMRAL1,NMRAL1
FUN_000785-T1,FUN_000785,0 Length: 360,Tyrosine--tRNA ligase [Acropora cervicornis],KAK2570825.1,633,FACL1,FACL1
FUN_000786-T1,FUN_000786,1 Length: 535,Tyrosine--tRNA ligase [Acropora cervicornis],KAK2570825.1,633,FACL1,FACL1
FUN_000787-T1,FUN_000787,2 Length: 282,PREDICTED: tropomyosin isoforms c/e-like [Acropora digitifera],XP_015747755.1,282,NA,lev-11
FUN_000793-T1,FUN_000793,3 Length: 910,extracellular calcium-sensing receptor-like [Acropora muricata],XP_067049653.1,910,VN2R1P,VN2R1P
FUN_000802-T1,FUN_000802,4 Length: 1060,Trifunctional purine biosynthetic protein adenosine-3 [Acropora cervicornis],KAK2570668.1,944,GART,GART
FUN_000803-T1,FUN_000803,5 Length: 419,"reticulon-4-interacting protein 1 homolog, mitochondrial-like [Acropora muricata]",XP_067049077.1,419,TUFMP1,TUFMP1
FUN_000805-T1,FUN_000805,6 Length: 968,uncharacterized protein [Acropora muricata],XP_067049283.1,970,GPRASP1,GPRASP1
FUN_000806-T1,FUN_000806,7 Length: 866,L-tyrosine decarboxylase [Acropora cervicornis],KAK2557278.1,911,ACMSD,ACMSD
FUN_000812-T1,FUN_000812,8 Length: 184,Peptidyl-prolyl cis-trans isomerase H [Acropora cervicornis],KAK2557281.1,195,PIN1,PIN1
FUN_000813-T1,FUN_000813,9 Length: 288,Spermidine synthase [Acropora cervicornis],KAK2557384.1,295,SRM,SRM
FUN_000827-T1,FUN_000827,0 Length: 230,ras-related protein Rab-6-like [Acropora muricata],XP_067050119.1,230,RABL6,RABL6
FUN_000842-T1,FUN_000842,1 Length: 562,PREDICTED: uncharacterized protein LOC107335698 [Acropora digitifera],XP_015756216.1,561,PLGRKT,PLGRKT
FUN_000848-T1,FUN_000848,2 Length: 477,Lysophospholipid acyltransferase 5 [Acropora cervicornis],KAK2557365.1,451,AGPAT5,AGPAT5
FUN_000849-T1,FUN_000849,3 Length: 4465,Intermembrane lipid transfer protein VPS13D [Acropora cervicornis],KAK2557309.1,4159,BLTP1,BLTP1
FUN_000850-T1,FUN_000850,4 Length: 337,Epidermal retinol dehydrogenase 2 [Acropora cervicornis],KAK2557308.1,320,RDH5,RDH5
FUN_000854-T1,FUN_000854,5 Length: 188,hypothetical protein P5673_020401 [Acropora cervicornis],KAK2557303.1,239,NA,NA
FUN_000855-T1,FUN_000855,6 Length: 168,hypothetical protein P5673_020401 [Acropora cervicornis],KAK2557303.1,239,NA,NA
FUN_000856-T1,FUN_000856,7 Length: 167,hypothetical protein P5673_020401 [Acropora cervicornis],KAK2557303.1,239,NA,NA
FUN_000858-T1,FUN_000858,8 Length: 169,uncharacterized protein LOC141885397 [Acropora palmata],XP_074627414.1,169,GPRASP1,GPRASP1
FUN_000870-T1,FUN_000870,79 Length: 1190,hypothetical protein P5673_020546 [Acropora cervicornis],KAK2557423.1,1084,NA,NA
FUN_000876-T1,FUN_000876,Length: 200,RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [Acropora cervicornis],KAK2557312.1,249,XNDC1CP,XNDC1CP
FUN_000877-T1,FUN_000877,Length: 182,Translocon-associated protein subunit gamma [Acropora cervicornis],KAK2557311.1,121,GNG2,GNG2
FUN_000878-T1,FUN_000878,Length: 1778,chromodomain-helicase-DNA-binding protein 4-like isoform X1 [Acropora millepora],XP_029187313.2,2374,XRCC4L,XRCC4L
FUN_000880-T1,FUN_000880,Length: 465,probable glycosyltransferase STELLO1 [Acropora millepora],XP_044178096.1,465,EXT1,EXT1
FUN_000881-T1,FUN_000881,Length: 465,probable glycosyltransferase STELLO1 [Acropora millepora],XP_044178096.1,465,EXT1,EXT1
FUN_000883-T1,FUN_000883,Length: 484,6-phosphogluconate dehydrogenase [Acropora cervicornis],KAK2557373.1,570,H6PD,H6PD
FUN_000884-T1,FUN_000884,Length: 786,tyrosine-protein phosphatase non-receptor type 11-like [Acropora millepora],XP_029212154.1,585,PTPN1,PTPN1
FUN_000892-T1,FUN_000892,Length: 415,Synaptotagmin-14 [Acropora cervicornis],KAK2557274.1,415,SYT14,SYT14
FUN_000894-T1,FUN_000894,Length: 375,translocation protein SEC62-like [Acropora millepora],XP_029211938.2,375,SEC63,SEC63
FUN_000899-T1,FUN_000899,Length: 886,hypothetical protein P5673_020512 [Acropora cervicornis],KAK2557396.1,794,NA,NA
FUN_000900-T1,FUN_000900,Length: 330,leucine-rich repeat-containing protein 23-like [Acropora muricata],XP_067051350.1,330,RXFP1,RXFP1
FUN_000909-T1,FUN_000909,Length: 349,hypothetical protein P5673_020391 [Acropora cervicornis],KAK2557296.1,312,NA,NA
FUN_000928-T1,FUN_000928,Length: 344,ZP domain-containing protein [Acropora cervicornis],KAK2557290.1,416,VWC2L,VWC2L
FUN_000931-T1,FUN_000931,Length: 313,Cilia- and flagella-associated protein 298 [Acropora cervicornis],KAK2557287.1,1095,CFAP298,CFAP298
FUN_000945-T1,FUN_000945,Length: 789,translocation protein SEC63 homolog [Acropora millepora],XP_044178119.1,791,SEC63P1,SEC63P1
FUN_000947-T1,FUN_000947,Length: 212,pyrroline-5-carboxylate reductase 3-like isoform X1 [Acropora millepora],XP_044178081.1,273,TECRL,TECRL
FUN_000949-T1,FUN_000949,Length: 163,NA,,NA,ATP1A1,ATP1A1
FUN_000950-T1,FUN_000950,Length: 1165,SAM and SH3 domain-containing protein 1 [Acropora cervicornis],KAK2557999.1,1138,SH3KBP1,SH3KBP1
FUN_000952-T1,FUN_000952,Length: 379,ubiquitin-conjugating enzyme E2 J1-like isoform X1 [Acropora millepora],XP_029193843.2,379,UBE2E2,UBE2E2
FUN_000980-T1,FUN_000980,Length: 1646,Interactor protein for cytohesin exchange factors 1 [Acropora cervicornis],KAK2570729.1,1596,IPCEF1,IPCEF1
FUN_000981-T1,FUN_000981,Length: 167,NA,,NA,ATP1A1,ATP1A1
FUN_000987-T1,FUN_000987,Length: 566,putative potassium channel protein YugO [Acropora cervicornis],KAK2570726.1,523,KCNIP1,KCNIP1
FUN_000989-T1,FUN_000989,Length: 584,uncharacterized protein [Acropora muricata],XP_067049119.1,530,GPRASP1,GPRASP1
FUN_000992-T1,FUN_000992,Length: 500,splicing factor 3A subunit 3-like isoform X1 [Montipora foliosa],XP_068698205.1,500,SF3A1,SF3A1
FUN_000993-T1,FUN_000993,Length: 664,Reticulocyte-binding protein-like protein 2a [Acropora cervicornis],KAK2570920.1,801,MLPL1,MLPL1
FUN_000997-T1,FUN_000997,Length: 550,"malonyl-CoA decarboxylase, mitochondrial-like isoform X2 [Acropora muricata]",XP_067049156.1,472,TUFMP1,TUFMP1
FUN_001005-T1,FUN_001005,Length: 593,fatty acid amide hydrolase-like [Acropora millepora],XP_029194651.2,611,FAAH,FAAH
FUN_001007-T1,FUN_001007,Length: 262,osteopetrosis-associated transmembrane protein 1-like isoform X1 [Acropora muricata],XP_067051830.1,265,FILIP1LP1,FILIP1LP1
FUN_001008-T1,FUN_001008,Length: 610,PREDICTED: cleavage stimulation factor subunit 2-like [Acropora digitifera],XP_015752420.1,570,CSTF1,CSTF1
FUN_001011-T1,FUN_001011,Length: 167,"unnamed protein product, partial [Porites evermanni]",CAH3023809.1,184,UBA52,UBA52
FUN_001014-T1,FUN_001014,Length: 169,NA,,NA,ATP1A1,ATP1A1
FUN_001020-T1,FUN_001020,Length: 558,alkaline phosphatase-like [Acropora muricata],XP_067050150.1,558,PTPLC,PTPLC
FUN_001023-T1,FUN_001023,Length: 756,Alpha-taxilin [Acropora cervicornis],KAK2570592.1,658,TXLNA,TXLNA
FUN_001030-T1,FUN_001030,Length: 680,SH3 domain-containing kinase-binding protein 1 [Acropora cervicornis],KAK2570684.1,474,SH3KBP1,SH3KBP1
FUN_001038-T1,FUN_001038,Length: 250,Uracil phosphoribosyltransferase-like protein [Acropora cervicornis],KAK2570989.1,217,NAMPTP1,NAMPTP1
FUN_001039-T1,FUN_001039,Length: 94,SH3 domain-binding glutamic acid-rich-like protein 3 [Acropora millepora],XP_029185702.1,94,SH3BGRL3,SH3BGRL3
FUN_001040-T1,FUN_001040,Length: 94,SH3 domain-binding glutamic acid-rich-like protein 3 [Acropora cervicornis],KAK2570991.1,82,SH3BGRL3,SH3BGRL3
FUN_001045-T1,FUN_001045,Length: 256,unnamed protein product [Porites lobata],CAH3032440.1,255,UBA52,UBA52
FUN_001046-T1,FUN_001046,Length: 323,Aldo-keto reductase family 1 member A1-A [Acropora cervicornis],KAK2570996.1,603,AKR1B10P1,AKR1B10P1
FUN_001047-T1,FUN_001047,Length: 319,Aldo-keto reductase family 1 member A1-A [Acropora cervicornis],KAK2570996.1,603,AKR1B10P1,AKR1B10P1
FUN_001049-T1,FUN_001049,Length: 322,aldo-keto reductase family 1 member B1-like isoform X1 [Acropora muricata],XP_067050530.1,322,MRGPRX1,MRGPRX1
FUN_001052-T1,FUN_001052,Length: 327,5'-nucleotidase [Acropora cervicornis],KAK2570544.1,1268,NT5DC1,NT5DC1
FUN_001053-T1,FUN_001053,Length: 347,5'-nucleotidase [Acropora cervicornis],KAK2570544.1,1268,NT5DC1,NT5DC1
FUN_001054-T1,FUN_001054,Length: 589,5'-nucleotidase [Acropora cervicornis],KAK2570544.1,1268,NT5DC1,NT5DC1
FUN_001055-T1,FUN_001055,Length: 429,Histone-binding protein RBBP7 [Acropora cervicornis],KAK2570543.1,391,L3MBTL1,L3MBTL1
FUN_001057-T1,FUN_001057,Length: 370,hypothetical protein P5673_004213 [Acropora cervicornis],KAK2570545.1,695,NA,NA
FUN_001058-T1,FUN_001058,Length: 379,hypothetical protein P5673_004213 [Acropora cervicornis],KAK2570545.1,695,NA,NA
FUN_001059-T1,FUN_001059,Length: 712,Ribosomal protein S6 kinase alpha-3 [Acropora cervicornis],KAK2570859.1,462,RPS6KA1,RPS6KA1
FUN_001060-T1,FUN_001060,Length: 4011,vacuolar protein sorting-associated protein 13C-like [Acropora millepora],XP_029186384.2,4091,GPRASP1,GPRASP1
FUN_001063-T1,FUN_001063,Length: 279,Collagen alpha-1(XII) chain [Acropora cervicornis],KAK2558146.1,457,COL12A1,COL12A1
FUN_001065-T1,FUN_001065,Length: 637,Synaptotagmin-like protein 4 [Acropora cervicornis],KAK2570866.1,519,KRTAP4-4,KRTAP4-4
FUN_001067-T1,FUN_001067,Length: 393,Pyruvate dehydrogenase E1 component subunit alpha [Acropora cervicornis],KAK2570940.1,449,PDHA1,PDHA1
FUN_001071-T1,FUN_001071,Length: 481,AFG1-like ATPase [Acropora cervicornis],KAK2570938.1,604,AFG1L,AFG1L
FUN_001072-T1,FUN_001072,Length: 1595,Transient receptor potential cation channel subfamily M member 3 [Acropora cervicornis],KAK2570942.1,1553,TRPM3,TRPM3
FUN_001075-T1,FUN_001075,Length: 102,Mitochondrial import inner membrane translocase subunit Tim13-B [Acropora cervicornis],KAK2570766.1,145,TIMM8A,TIMM8A
FUN_001083-T1,FUN_001083,Length: 885,Armadillo repeat-containing protein 2 [Acropora cervicornis],KAK2570761.1,820,RXFP2,RXFP2
FUN_001092-T1,FUN_001092,Length: 355,Sorbitol dehydrogenase [Acropora cervicornis],KAK2570561.1,333,H6PD,H6PD
FUN_001093-T1,FUN_001093,Length: 381,hypothetical protein P5673_004238 [Acropora cervicornis],KAK2570562.1,381,NA,NA
FUN_001095-T1,FUN_001095,Length: 362,uncharacterized protein [Acropora muricata],XP_067048889.1,387,GPRASP1,GPRASP1
FUN_001096-T1,FUN_001096,Length: 283,Proteasome assembly chaperone 1 [Acropora cervicornis],KAK2570775.1,283,PSMG1,PSMG1
FUN_001100-T1,FUN_001100,Length: 227,hypothetical protein P5673_004472 [Acropora cervicornis],KAK2570777.1,227,NA,NA
FUN_001101-T1,FUN_001101,Length: 221,uncharacterized protein LOC114971068 [Acropora millepora],XP_029207469.1,221,GPRASP1,GPRASP1
FUN_001105-T1,FUN_001105,Length: 213,Myophilin [Acropora cervicornis],KAK2570707.1,207,NA,MYPH
FUN_001106-T1,FUN_001106,Length: 195,Transgelin-2 [Acropora cervicornis],KAK2570708.1,367,TAGLN2P2,TAGLN2P2
FUN_001107-T1,FUN_001107,Length: 213,Transgelin-2 [Acropora cervicornis],KAK2570708.1,367,TAGLN2P2,TAGLN2P2
FUN_001108-T1,FUN_001108,Length: 137,calponin-1-like [Acropora millepora],XP_029180830.1,137,SPECC1L,SPECC1L
FUN_001111-T1,FUN_001111,Length: 2004,Cation-independent mannose-6-phosphate receptor [Acropora cervicornis],KAK2570704.1,2357,M6PR,M6PR
FUN_001111-T2,FUN_001111,Length:2353,Cation-independent mannose-6-phosphate receptor [Acropora cervicornis],KAK2570704.1,2357,M6PR,M6PR
FUN_001112-T1,FUN_001112,Length: 318,Neuropilin-2 [Acropora cervicornis],KAK2570895.1,317,NETO2,NETO2
FUN_001113-T1,FUN_001113,Length: 625,Lactadherin [Acropora cervicornis],KAK2570894.1,574,NA,MFGE8
FUN_001114-T1,FUN_001114,Length: 727,Mucin-like protein [Acropora cervicornis],KAK2570892.1,770,PARM1,PARM1
FUN_001115-T1,FUN_001115,Length: 486,Solute carrier family 28 member 3 [Acropora cervicornis],KAK2570891.1,528,SLC28A3,SLC28A3
FUN_001116-T1,FUN_001116,Length: 577,Coiled-coil domain-containing protein 91 [Acropora cervicornis],KAK2570890.1,540,CCDC91,CCDC91
FUN_001119-T1,FUN_001119,Length: 646,Fibrinogen C domain-containing protein 1 [Acropora cervicornis],KAK2570959.1,702,VSX2,VSX2
FUN_001121-T1,FUN_001121,Length: 648,Fibrinogen C domain-containing protein 1 [Acropora cervicornis],KAK2570959.1,702,VSX2,VSX2
FUN_001122-T1,FUN_001122,Length: 836,Coadhesin [Acropora cervicornis],KAK2570887.1,761,NA,NA
FUN_001123-T1,FUN_001123,Length: 234,Threonylcarbamoyl-AMP synthase [Acropora cervicornis],KAK2570847.1,233,AASS,AASS
FUN_001127-T1,FUN_001127,Length: 637,PREDICTED: heterogeneous nuclear ribonucleoprotein R-like [Acropora digitifera],XP_015767650.1,637,HNRNPA0,HNRNPA0
FUN_001128-T1,FUN_001128,Length: 613,Heterogeneous nuclear ribonucleoprotein Q [Acropora cervicornis],KAK2570844.1,678,SYNCRIP,SYNCRIP
FUN_001132-T1,FUN_001132,Length: 213,Glutathione S-transferase omega-1 [Acropora cervicornis],KAK2570500.1,234,GSTO1,GSTO1
FUN_001133-T1,FUN_001133,Length: 233,Glutathione S-transferase omega-1 [Acropora cervicornis],KAK2570499.1,188,GSTO1,GSTO1
FUN_001135-T1,FUN_001135,Length: 426,tRNA wybutosine-synthesizing protein 5-like [Acropora millepora],XP_029193637.2,426,TYW2,TYW2
FUN_001138-T1,FUN_001138,Length: 1017,Presequence protease [Acropora cervicornis],KAK2570494.1,527,ACTMAP,ACTMAP
FUN_001139-T1,FUN_001139,Length: 864,Centrosomal protein of 57 kDa [Acropora cervicornis],KAK2570957.1,574,CEP57,CEP57
FUN_001141-T1,FUN_001141,Length: 680,Fibrinogen C domain-containing protein 1 [Acropora cervicornis],KAK2570959.1,702,VSX2,VSX2
FUN_001146-T1,FUN_001146,Length: 433,Alanine--glyoxylate aminotransferase [Acropora cervicornis],KAK2570955.1,397,AGXT,AGXT
FUN_001149-T1,FUN_001149,Length: 265,"TIP41-like protein, partial [Acropora cervicornis]",KAK2570962.1,261,LGI1,LGI1
FUN_001153-T1,FUN_001153,Length: 1197,transient receptor potential cation channel subfamily A member 1-like [Acropora muricata],XP_067051607.1,1197,TRPA1,TRPA1
FUN_001170-T1,FUN_001170,Length: 920,PAX3- and PAX7-binding protein 1-like [Acropora millepora],XP_029193645.2,920,PAXBP1,PAXBP1
FUN_001173-T1,FUN_001173,Length: 165,Histone deacetylase complex subunit SAP18 [Acropora cervicornis],KAK2570786.1,188,SAP18P1,SAP18P1
FUN_001177-T1,FUN_001177,Length: 2344,hypothetical protein P5673_004505 [Acropora cervicornis],KAK2570807.1,654,NA,NA
FUN_001180-T1,FUN_001180,Length: 328,nuclear migration protein nudC-like [Acropora millepora],XP_044172941.1,328,MIIP,MIIP
FUN_001187-T1,FUN_001187,Length: 3905,Dystrophin [Acropora cervicornis],KAK2570584.1,2351,DMD,DMD
FUN_001198-T1,FUN_001198,Length: 290,Retinol dehydrogenase 8 [Acropora cervicornis],KAK2570583.1,851,RDH8,RDH8
FUN_001200-T1,FUN_001200,Length:290,Retinol dehydrogenase 8 [Acropora cervicornis],KAK2570583.1,851,RDH8,RDH8
